Name,comps
c1,0
c2,1
c3,2
c4,3
c5,4
c6,5
c7,7
c8,9
c9,10
c10,14
c11,15
c12,16
c13,17
c14,18
c15,20
c16,21
c17,22
c18,23
c19,25
c20,26
c21,27
c22,28
c23,30
c24,31
c25,32
c26,33
c27,34
c28,35
c29,38
c30,41
c31,42
c32,43
c33,44
c34,45
c35,46
c36,48
c37,49
c38,50
c39,51
c40,52
c41,54
c42,55
c43,56
c44,57
c45,58
c46,59
c47,61
c48,63
c49,64
c50,71
