Name,comps
c1,0
c2,1
c3,2
c4,3
c5,4
c6,5
c7,6
c8,8
c9,11
c10,14
c11,15
c12,16
c13,17
c14,18
c15,19
c16,20
c17,21
c18,22
c19,23
c20,24
c21,27
c22,28
c23,29
c24,31
c25,32
c26,33
c27,36
c28,37
c29,38
c30,39
c31,40
c32,41
c33,43
c34,44
c35,45
c36,46
c37,47
c38,48
c39,49
c40,50
c41,57
c42,58
c43,59
c44,60
c45,61
c46,62
c47,63
c48,64
c49,65
c50,66
